Name,Assign,Date,Status,Type
Single & Video Release,,"February 17, 2023 → March 3, 2023",,
Label Copy,"Management, Method","January 6, 2023",,Admin
Lyrics,Management,"January 6, 2023",,Admin
"ISRCs: Audio, Video, TikTok",Method,"January 6, 2023",,Admin
Deadline: Audio premasters,"A&R, Method","January 11, 2023",,"Audio, Deadline"
Deadline: Audio master,"A&R, Method","January 12, 2023",,"Audio, Deadline"
Deadline: Spatial audio,Method,"January 12, 2023",,"Audio, Deadline"
Deadline: Artwork,"Management, Method","January 16, 2023",,"Art & Photos, Deadline"
Method: Audio & Art delivery,Method,"January 18, 2023",,"Art & Photos, Audio, Delivery"
Initiation Form: Audio,Method,"January 18, 2023",,Admin
Team update: release plan & assets,Method,"January 18, 2023",,Promo
"UMG: Audio, Art, Lyrics delivery","Method, UMG","January 19, 2023",,Delivery
Bandcamp delivery,Method,"January 19, 2023",,Delivery
UMG: TikTok Audio delivery,"Method, UMG","January 19, 2023",,Delivery
Socials: Greenlisting,"Method, UMG","January 23, 2023",,"Admin, Socials"
Setup pre-save & announce,"Management, Method","January 23, 2023",,Promo
"DSP pitch: S4A, AMA & email",Method,"January 23, 2023",,Promo
Initiation: Fused ad plan,"Method, UMG","January 26, 2023",,Advertising
Initiation Form: Video,"Method, UMG","January 26, 2023",,"Admin, Video"
Video: CLA form,"Method, UMG","January 26, 2023",,"Admin, Video"
Video: VEVO pitch,Method,"January 30, 2023",,"Promo, Video"
"UMG: Video, visualiser, thumbnail delivery","Method, UMG","January 30, 2023",,Video
Soundcloud free tier clearance,"Method, UMG","February 1, 2023",,Admin
Radiomonitor submission,Method,"February 8, 2023",,Radio
Deadline: Press release,Method,"February 8, 2023",,PR
Deadline: Promo photos,"Management, Method","February 8, 2023",,Art & Photos
Deadline: Social assets,"Management, Method","February 8, 2023",,Socials
"Video: Desc., tags update",Method,"February 10, 2023",,Video
Video: YouTube Premier,Method,"February 10, 2023",,Video
UMG: Obtain DSP links,"Method, UMG","February 10, 2023",,Admin
Snapchat submit,Method,"February 10, 2023",,Socials
Amazon For Artists pitch,,"February 10, 2023",,
Artist website update,Method,"February 17, 2023",,Promo
