Name,Status,Created time,Document,Last edited time,Tags,Week
"Featured artist, producer and mix engineer deal terms →",Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Legal,Week -6
Sample clearances,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Legal,Week -6
Audio: Master / Spatial Audio booked →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Music,Week -6
Art and Video creative →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Creative,Week -6
Audio: Mix finalised and delivered →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Music,Week -6
Label Copy →,Not Started,"September 29, 2025 2:01 PM",Release%20Page%20Checklist%2027dd3798725d81338a65edad9f09d944/Template__Label_Copy.docx,"September 29, 2025 2:01 PM",Admin,Week -5
Release Initiation form prep →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Week -5
Audio: Master / Spatial Audio delivered,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Music,Week -5
Track Lyrics,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Week -5
Artwork delivered to Label →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Creative,Week -4
Release assets delivered to Distro →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Week -4
TikTok Official Audio timestamp to Distro →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Music,Week -4
ISRCS & UPCs: Add to database →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Week -4
Team update with release plan →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -4
Pre-save setup →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -4
Quote from artist on the track →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -4
Greenlist socials with Distro →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Week -3
Initiate press release,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -3
DSP pitches →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Streaming,Week -3
Video: Initiation and delivery if going to VEVO →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Video,Week -3
Digital advertising plan initiated →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -3
Register release with Collection Societies,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Week -3
Video / visualiser / lyric video delivery to Label →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Video,Week -3
Video / visualiser / lyric delivery to Distributor (if applicable),Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Video,Week -2
Soundcloud free tier clearance,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Music,Week -2
TikTok official sound released,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Music,Week -2
Add TikTok official sound to co:brand for tracking,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -2
Promo photos delivered,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Creative,Week -2
Amazon Music pitch →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Streaming,Week -2
Club servicing,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM","Creative, Marketing",Week -2
Social assets creation initiated →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Creative,Week -2
YouTube Premiere initiation →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",YouTube,Week -1
YouTube video uploaded →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",YouTube,Week -1
Press release delivered,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -1
Social assets delivered,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Creative,Week -1
Spotify Canvas uploaded,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Streaming,Week -1
"Team update: Press release, photos and assets distributed",Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -1
Update Smartlink with DSP links →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Week -1
Artist socials updates →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Release Day
Update artist & label playlists on DSPs,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Streaming,Release Day
Update “pre-save” to “out now” wording,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Release Day
Update artist website,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Marketing,Release Day
ChartMetric update with release links,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Release Day
Submit lyrics via Musixmatch,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Admin,Release Day
Video: Pinned and hearted comments →,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",YouTube,Release Day
Set release as Artist Pick on Spotify,Not Started,"September 29, 2025 2:01 PM",,"September 29, 2025 2:01 PM",Spotify,Release Day
